01.11.2007 18:53
45 Messungen
5 Wiederholungen






Amplitude Frequenz Q-Faktor Strom Temperatur
4.9814 17745.1 3380.51 0.915 35.25
4.94165 17812.3 3393.9 0.935 35.25
4.93836 17813.3 3394.65 0.935 35.55
4.93453 17813.9 3390.46 0.935 35.25
4.93124 17814.2 3395.01 0.935 35.25
4.92975 17813.6 3394.75 0.935 35.25
4.894 17872.9 3398.09 0.955 35.55
4.89208 17873.7 3402.5 0.955 35.55
4.88827 17874.7 3405.01 0.955 35.55
4.88775 17874.1 3402.62 0.955 35.55
4.88374 17873.5 3404.96 0.955 35.85
