Date,Open,High,Low,Close,Volume
11-Sep-98,60.4002,62.9816,60.0269,62.9816,4965100
10-Sep-98,60.7734,60.96,58.814,60.96,5579800
9-Sep-98,62.5773,63.4171,61.3954,61.4576,4994700
8-Sep-98,62.173,62.6706,60.8045,62.6706,4642500
4-Sep-98,60.96,61.1466,57.3833,59.4049,4122900
3-Sep-98,59.0939,61.0533,58.7518,60.5868,4823100
2-Sep-98,60.2135,61.582,59.6537,59.9647,5627800
1-Sep-98,56.2325,59.1872,55.1128,58.6895,8399700
31-Aug-98,61.2088,61.3954,56.0459,56.0459,7486300
28-Aug-98,62.3285,62.6084,60.1202,60.9911,5802600
27-Aug-98,64.0702,64.0702,62.1108,62.3285,7346900
26-Aug-98,63.3238,65.5631,63.1993,65.1277,4411700
25-Aug-98,64.2568,65.1277,63.5104,63.9147,2632200
24-Aug-98,63.697,64.0391,63.3549,63.9769,2885400
21-Aug-98,63.4482,63.697,61.9553,63.6348,4220400
20-Aug-98,64.4434,64.7233,63.4482,63.7281,3040300
19-Aug-98,64.4434,65.1899,64.2257,64.6611,3571100
18-Aug-98,63.1993,64.4434,63.1993,64.1324,3791900
17-Aug-98,62.2663,62.7017,61.8309,62.2663,3177500
14-Aug-98,63.0127,63.386,61.7064,62.3907,3147900
13-Aug-98,63.4793,63.8836,62.7017,62.795,3026800
12-Aug-98,64.0702,64.4745,63.4793,63.697,3682300
11-Aug-98,62.7639,63.9458,62.3596,63.9458,5114700
10-Aug-98,64.1324,64.7544,64.0702,64.63,3027700
7-Aug-98,65.5631,66.8072,64.2568,64.2568,5765300
6-Aug-98,63.6037,65.1588,63.386,64.5678,4101300
5-Aug-98,63.1992,64.3189,61.7063,64.0701,6553600
4-Aug-98,66.6827,66.8071,63.1059,63.1059,6688900
3-Aug-98,66.6827,67.1181,65.8429,66.0606,4177900
31-Jul-98,66.3094,68.7354,65.8118,65.9362,6594000
30-Jul-98,64.0079,66.5583,63.9146,66.3716,5476700
29-Jul-98,63.6658,63.9146,63.2303,63.6347,4019800
28-Jul-98,62.826,63.1681,61.7996,62.4217,4245300
27-Jul-98,61.5819,62.5772,60.8355,62.4528,3672700
24-Jul-98,62.6394,62.6705,60.9599,61.8307,2874600
23-Jul-98,63.2925,64.1945,61.5508,61.6441,4153100
22-Jul-98,62.7016,63.9146,61.9552,63.4169,6050900
21-Jul-98,63.8213,65.1898,63.5725,63.7591,12308600
20-Jul-98,60.2134,61.2087,59.8713,60.7111,4489200
17-Jul-98,59.0005,59.9024,58.9694,59.8091,3168400
16-Jul-98,58.2851,59.1871,57.7253,58.9072,2180100
15-Jul-98,59.3426,59.7158,58.2229,58.2229,2557800
14-Jul-98,59.5914,60.0268,59.2182,59.5292,2268600
13-Jul-98,58.9694,59.7158,58.845,59.4048,2339800
10-Jul-98,58.845,59.3426,58.4095,58.9694,3070100
9-Jul-98,57.1032,58.9694,57.041,58.254,3189500
8-Jul-98,56.6056,57.5076,56.5434,57.2277,2258200
7-Jul-98,56.5434,56.9788,56.108,56.6678,2274900
6-Jul-98,57.2277,57.2588,56.3879,56.5745,3199200
2-Jul-98,58.0052,58.0363,56.9788,57.321,3219800
1-Jul-98,57.7253,58.1918,57.4765,58.0985,3166400
30-Jun-98,56.7922,57.8808,56.4812,57.1343,4356000
29-Jun-98,56.7922,57.1343,56.5123,56.7922,2184600
26-Jun-98,55.9214,56.4501,55.8903,56.2324,1636400
25-Jun-98,55.9836,57.0721,55.7348,55.9525,3187800
24-Jun-98,55.6726,55.797,54.7706,55.7348,3030000
23-Jun-98,54.7395,55.8903,54.7084,55.6104,4039200
22-Jun-98,52.8734,54.4907,52.8423,53.8064,4276900
19-Jun-98,54.1175,54.3663,52.749,52.8112,4884000
18-Jun-98,54.2419,54.3041,53.5576,54.1486,4240700
17-Jun-98,55.2371,55.8281,54.7706,55.2371,5622600
16-Jun-98,55.6726,55.6726,53.3088,54.7395,8814100
15-Jun-98,57.041,57.4454,55.797,55.8592,4203700
12-Jun-98,57.6631,58.1296,56.73,57.8497,4020700
11-Jun-98,58.4717,58.7517,57.6009,57.7253,2678600
10-Jun-98,59.0938,59.5292,58.1607,58.3473,3281100
9-Jun-98,59.2182,59.4981,58.6272,59.3426,1871100
8-Jun-98,59.0938,59.7158,58.9072,59.1249,1875000
5-Jun-98,58.0985,59.2182,58.0052,59.156,4122700
4-Jun-98,56.8544,57.8186,56.8544,57.7564,3033300
3-Jun-98,57.7253,58.0363,56.6678,56.6678,2940900
2-Jun-98,58.3162,58.565,57.1343,57.5076,3891300
1-Jun-98,58.4095,58.8761,57.041,58.3162,3653700
29-May-98,59.9957,60.1823,58.4095,58.4717,2855400
28-May-98,59.8402,60.5245,59.6225,59.7469,2972200
27-May-98,59.3737,60.4623,59.0005,59.8402,5019200
26-May-98,60.8977,61.2087,60.1201,60.2134,3475700
22-May-98,61.5197,61.5197,60.2756,60.68,1998500
21-May-98,61.4575,61.7996,60.68,61.5197,2917700
20-May-98,62.3284,62.6083,60.991,61.4575,3014100
19-May-98,62.515,63.1992,62.0796,62.204,3898000
18-May-98,62.0796,62.5772,61.4264,62.0174,3525500
15-May-98,62.515,63.5725,61.7685,62.1729,5598900
14-May-98,61.3953,64.35,61.1465,62.6083,10528600
13-May-98,59.8402,60.8355,59.778,60.6489,3963300
12-May-98,58.845,59.7158,58.3784,59.5292,3773800
11-May-98,59.8091,61.0843,58.8761,59.3737,4771400
8-May-98,58.1918,59.7158,58.1607,59.7158,3883400
7-May-98,58.4717,58.5961,57.7875,58.2851,2654400
6-May-98,58.7205,59.1871,58.3473,58.3473,3182500
5-May-98,58.0673,58.8448,58.0673,58.6271,2696600
4-May-98,58.285,59.1559,58.0362,58.0362,2656500
1-May-98,57.6941,58.4094,57.4764,58.1606,2476500
30-Apr-98,57.7563,58.4405,57.4764,57.663,3557500
29-Apr-98,57.5697,58.1606,57.0409,57.5075,3403900
28-Apr-98,57.7874,58.9693,57.3831,57.5697,5187100
27-Apr-98,57.8496,58.0362,56.9165,57.3831,4297500
24-Apr-98,58.0984,58.6893,57.8496,58.4094,3956200
23-Apr-98,56.9787,58.5338,56.7921,58.4716,4778800
22-Apr-98,58.7204,59.7157,57.0409,57.1031,6546800
21-Apr-98,56.7299,58.9693,56.5433,58.7204,12301600
20-Apr-98,53.713,55.3614,53.3398,55.3303,4924300
17-Apr-98,53.4642,53.713,52.9977,53.6197,3154000
16-Apr-98,54.4284,54.7394,53.5575,53.6508,3380600
15-Apr-98,53.2465,54.6461,52.9977,54.615,4552100
14-Apr-98,52.2512,52.8733,52.0646,52.8733,2385500
13-Apr-98,53.0288,53.6508,51.8469,51.8469,4085000
9-Apr-98,52.5623,52.9977,52.4067,52.9355,3030000
8-Apr-98,52.1268,52.5623,51.6292,52.0024,2693600
7-Apr-98,52.6245,52.6556,51.5359,52.0957,2723200
