temps	chemin
8.47392E-4	-5.78045E0
8.49345E-4	-5.82402E0
8.51297E-4	-5.89702E0
8.53251E-4	-5.87928E0
8.55204E-4	-5.89226E0
8.57157E-4	-5.77312E0
8.5911E-4	-5.97216E0
8.61063E-4	-5.86069E0
8.63016E-4	-6.04934E0
8.64969E-4	-6.26713E0
8.66923E-4	-6.15373E0
8.68876E-4	-6.08734E0
8.70829E-4	-6.12484E0
8.72782E-4	-6.12446E0
8.74735E-4	-6.14104E0
8.76688E-4	-6.21448E0
8.78641E-4	-6.20846E0
8.80595E-4	-6.32061E0
8.82548E-4	-6.18777E0
8.84501E-4	-6.21077E0
8.86454E-4	-6.21245E0
8.88407E-4	-6.32443E0
8.9036E-4	-6.21579E0
8.92313E-4	-6.41268E0
8.94266E-4	-6.69826E0
8.96219E-4	-6.65637E0
8.98173E-4	-6.70397E0
9.00126E-4	-6.68879E0
9.02079E-4	-6.73844E0
9.04032E-4	-6.79958E0
9.05985E-4	-6.73369E0
9.07938E-4	-6.76033E0
9.09891E-4	-6.76885E0
9.11845E-4	-6.78346E0
9.13798E-4	-6.79898E0
9.15751E-4	-6.80829E0
9.17704E-4	-6.82902E0
9.19657E-4	-6.83121E0
9.2161E-4	-6.8794E0
9.23563E-4	-7.22994E0
9.25516E-4	-7.27807E0
9.27469E-4	-7.28067E0
9.29422E-4	-7.30116E0
9.31376E-4	-7.31159E0
9.33329E-4	-7.32658E0
9.35282E-4	-7.3425E0
9.37235E-4	-7.35205E0
9.39188E-4	-7.37362E0
9.41141E-4	-7.37781E0
9.43095E-4	-7.32677E0
9.45048E-4	-7.40164E0
9.47001E-4	-7.38032E0
9.48954E-4	-7.74578E0
9.50907E-4	-7.71532E0
9.5286E-4	-7.81269E0
9.54813E-4	-7.84523E0
9.56767E-4	-7.78784E0
9.58719E-4	-7.86216E0
9.60672E-4	-7.73853E0
9.62626E-4	-7.90582E0
9.64579E-4	-7.79171E0
9.66532E-4	-8.01271E0
9.68485E-4	-8.26337E0
9.70438E-4	-8.03483E0
9.72391E-4	-8.04752E0
9.74344E-4	-8.20029E0
9.76298E-4	-8.05241E0
9.78251E-4	-8.36722E0
9.80204E-4	-8.40516E0
9.82157E-4	-8.46526E0
9.8411E-4	-8.6027E0
9.86063E-4	-8.5673E0
9.88017E-4	-8.66116E0
9.8997E-4	-8.66505E0
9.91923E-4	-8.62416E0
9.93876E-4	-8.97353E0
9.95829E-4	-8.95999E0
9.97782E-4	-8.99377E0
9.99735E-4	-8.99477E0
1.00169E-3	-9.04109E0
1.00364E-3	-9.40309E0
1.00559E-3	-9.43603E0
1.00755E-3	-9.46722E0
1.0095E-3	-9.44439E0
1.01145E-3	-9.57874E0
1.01341E-3	-9.88988E0
1.01536E-3	-9.69349E0
1.01731E-3	-9.84412E0
1.01927E-3	-9.92796E0
1.02122E-3	-1.02221E1
1.02317E-3	-1.01716E1
1.02513E-3	-1.02828E1
1.02708E-3	-1.05286E1
1.02903E-3	-1.05581E1
1.03098E-3	-1.04513E1
1.03294E-3	-1.07E1
1.03489E-3	-1.09592E1
1.03684E-3	-1.08234E1
1.0388E-3	-1.09766E1
1.04075E-3	-1.13003E1
1.0427E-3	-1.12961E1
1.04466E-3	-1.13506E1
1.04661E-3	-1.17032E1
1.04856E-3	-1.17562E1
1.05052E-3	-1.19679E1
1.05247E-3	-1.209E1
1.05442E-3	-1.20642E1
1.05638E-3	-1.23001E1
1.05833E-3	-1.2346E1
1.06028E-3	-1.26417E1
1.06223E-3	-1.26215E1
1.06419E-3	-1.29838E1
1.06614E-3	-1.30572E1
1.06809E-3	-1.33138E1
1.07005E-3	-1.35175E1
1.072E-3	-1.36057E1
1.07395E-3	-1.38206E1
1.07591E-3	-1.4024E1
1.07786E-3	-1.41161E1
1.07981E-3	-1.43759E1
1.08177E-3	-1.45286E1
1.08372E-3	-1.48179E1
